Price,Date,Close,High,Low,Open,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
6017,2019-11-25,711.4080200195312,712.8886371176563,706.6016557945779,706.6700209762848,15146156
6018,2019-11-26,710.8157348632812,718.1505154744042,708.879491945223,714.3920121484479,35330983
6019,2019-11-27,715.1893310546875,717.7633652939037,708.9250975875062,710.6791145863369,9642739
6020,2019-11-28,719.9501342773438,721.7040904421433,712.5014315092969,716.4649089696081,13747479
6021,2019-11-29,706.6699829101562,720.701753230316,705.166557224742,720.701753230316,18559594
6022,2019-12-02,722.774658203125,735.5080374165003,718.446668058888,728.9249695906898,31225364
6023,2019-12-03,719.312255859375,726.1914715498816,716.4421348181588,725.6220455689571,12990426
6024,2019-12-04,707.3761596679688,718.6744788325336,698.7429268841796,716.6243749561746,20987607
6025,2019-12-05,706.5333251953125,719.6995220271033,703.4126129063931,717.0799313673334,19942460
6026,2019-12-06,708.37841796875,714.34650367528,702.0914366693934,707.5128442167919,13085234
6027,2019-12-09,716.442138671875,718.6289120538767,704.5515241942397,708.9478796256215,12642677
6028,2019-12-10,711.5902099609375,716.8976955643037,708.0366804472823,716.1915392303736,10173333
6029,2019-12-11,711.7952270507812,717.3076864061647,706.4193764022663,708.6972627250307,12364641
6030,2019-12-12,714.4375610351562,717.0115950685123,709.175632105721,715.3714998957938,10326606
6031,2019-12-13,721.1345825195312,724.3692164991846,716.351027140772,719.8133828560042,12668303
6032,2019-12-16,713.7086791992188,726.1459108549086,712.6836272871026,725.2803371433246,11892718
6033,2019-12-17,711.9319458007812,719.3578399123801,708.6745638764085,713.7770149946166,20324601
6034,2019-12-18,717.9227294921875,719.8133550679012,711.6130008022194,712.0685659020165,14742077
6035,2019-12-19,733.4579467773438,735.7130853224812,716.0776815344282,716.9432552495575,20507816
6036,2019-12-20,728.5149536132812,736.9203425972383,727.1481974888583,735.7586211795677,21271510
6037,2019-12-23,715.8954467773438,718.697202601145,709.6995788435307,710.7473785911997,25107772
6038,2019-12-24,704.5287475585938,716.1915181782858,702.7291741875471,714.756457708604,18048449
6039,2019-12-26,690.383056640625,707.4899822548463,687.9912486399223,702.3419749979173,29761019
6040,2019-12-27,702.660888671875,704.4148447570507,693.0709694017163,695.6677513520056,17677571
6041,2019-12-30,703.5037231445312,705.075453204925,696.146133646615,704.3009925083965,17123749
6042,2019-12-31,689.76806640625,703.275967959933,687.0346147831144,702.5014464101453,22203005
6043,2020-01-01,687.7406616210938,695.71329418231,685.8728447066956,691.5675301163265,14004468
6044,2020-01-02,699.4490966796875,702.0231309084611,688.8341249955183,688.8341249955183,17710316
6045,2020-01-03,700.2918701171875,702.3419738793503,693.8454111057252,698.401183727618,20984698
6046,2020-01-06,684.050537109375,696.0777601328983,682.4559984007375,692.4787349396005,24519177
6047,2020-01-07,694.5744018554688,699.0846181349457,689.5174466155153,692.0231155682121,16683622
6048,2020-01-08,689.3580322265625,699.0618124993036,687.9229716982027,690.2008581035432,16047902
6049,2020-01-09,705.2349243164062,706.1460545384556,697.6039958258494,700.9524906265494,14982742
6050,2020-01-10,705.075439453125,709.767881698561,701.4307969531442,707.0116215682394,12478359
6051,2020-01-13,703.2759399414062,710.1095991385498,700.8613840078024,703.8909832584651,18282382
6052,2020-01-14,696.7611694335938,706.1460540060764,693.321561613282,701.5902812530394,15816535
6053,2020-01-15,694.2327270507812,701.5447603290233,691.6815014784388,699.6996911256139,15817859
6054,2020-01-16,700.633544921875,703.1164660495333,696.123328607651,696.5789545487438,12847975
6055,2020-01-17,720.2689819335938,722.0684944917035,707.6039072039894,707.7405767341073,29463471
6056,2020-01-20,698.1051025390625,733.0251711346966,695.3943989516875,733.0251711346966,32545850
6057,2020-01-21,698.811279296875,704.255434474368,693.3898719635566,696.3967233662753,18922720
6058,2020-01-22,698.5606689453125,704.6654237834097,697.5356170539271,703.4125893409511,10322817
6059,2020-01-23,695.5994873046875,702.4787033341204,692.7976704809724,699.995782105906,11247739
6060,2020-01-24,693.1848754882812,699.9274214343135,691.8181193658394,695.6677356936214,14628445
6061,2020-01-27,686.3511962890625,694.5060553497816,685.6450399310917,690.1553171549481,13387750
6062,2020-01-28,670.4970703125,687.9229525273819,666.784123482271,687.2851005590206,24532236
6063,2020-01-29,674.1873168945312,680.8159416798308,666.9891444546691,671.5449174600141,24746565
6064,2020-01-30,657.7409057617188,674.1189279948669,656.0325061506004,673.8000324109488,22402689
6065,2020-01-31,643.1168212890625,662.0688771430911,641.0895261519104,661.9549554548163,34750310
6066,2020-02-03,631.2034912109375,637.7866202198592,620.9757803391669,624.0964927141115,30712290
6067,2020-02-04,649.8366088867188,652.6156168163996,636.8070821041359,637.8093253228989,25383901
6068,2020-02-05,659.9048461914062,661.8638369578762,651.6133788455309,653.7089783198215,18472100
6069,2020-02-06,664.1417236328125,668.3330442297388,656.0780388344074,662.4561327504642,15538577
6070,2020-02-07,653.1395874023438,661.6588985800611,650.7022227352583,661.043855246306,12209212
6071,2020-02-10,654.0279541015625,658.5381704022313,642.5701568916897,650.5655375690975,15142476
6072,2020-02-11,661.8411254882812,667.9686285196045,658.3331523553433,659.4037608180389,13999816
6073,2020-02-12,669.8364868164062,671.9093993236276,662.8661580899145,663.3900883835446,13533565
6074,2020-02-13,671.5904541015625,673.2305493654294,666.3285248796951,673.2305493654294,13565659
6075,2020-02-14,677.718017578125,684.0277465787818,662.0005342763124,673.0027665052698,21227841
6076,2020-02-17,673.4583129882812,686.1689444853641,671.6588003937245,678.3557899744812,13149130
6077,2020-02-18,668.5153198242188,672.3877451358492,663.9595468069297,672.3877451358492,11127161
6078,2020-02-19,685.0983276367188,686.3056055739146,672.023244212816,673.9594263164361,14084409
6079,2020-02-20,676.96630859375,687.011793300471,675.9868131637884,682.00045528101,16892268
6080,2020-02-24,658.28759765625,672.8888554037397,655.8274851343797,669.5859169809235,21370214
6081,2020-02-25,645.2808837890625,661.2260892059667,642.3651452916142,661.2260892059667,27745062
6082,2020-02-26,634.1647338867188,643.4357581099381,632.0463255923955,642.3651496285956,29362748
6083,2020-02-27,631.545166015625,634.984773821128,623.6863941862033,632.3423745443288,25054993
6084,2020-02-28,605.3038330078125,618.2194993599866,603.6409899275759,617.2627517959893,39315769
6085,2020-03-02,599.609130859375,623.6863851490178,592.7526631915989,617.3538477602337,29500495
6086,2020-03-03,611.7730712890625,616.8072181209545,602.2742644592462,605.782237667522,27398798
6087,2020-03-04,610.3379516601562,616.7616019529802,595.8505559134851,615.9415847840235,22105261
6088,2020-03-05,597.3312377929688,618.6522925629214,594.9849863088358,616.0327020205981,30510390
6089,2020-03-06,579.0397338867188,586.8529491734296,565.4179722528313,578.5841687798553,33734039
6090,2020-03-09,507.58233642578125,565.3724120812213,498.8580213933914,564.9395948209478,88187018
6091,2020-03-11,525.5321044921875,536.8759793924714,504.7805063315845,504.7805063315845,59578576
6092,2020-03-12,484.2795104980469,501.5914709670085,477.76474706707563,494.3022468622761,55970485
6093,2020-03-13,503.55047607421875,519.3590113331041,429.3368204123628,454.66694028272855,73297403
6094,2020-03-16,462.7306823730469,491.88767062151203,457.855983622141,483.16335544370344,38482258
6095,2020-03-17,459.2227478027344,482.9128030692173,457.03597440618387,477.1041653266847,45445979
6096,2020-03-18,441.2274169921875,471.93338856425487,437.8105872964356,467.10424614814195,44730415
6097,2020-03-19,418.0840148925781,440.54401303469564,406.46677027954416,419.17740154751465,61404010
6098,2020-03-20,463.7557373046875,471.4777788758974,423.6876298476558,428.0156200813736,63360475
6099,2020-03-23,402.75384521484375,432.79921679858717,398.92697651015874,417.4006593662028,40670949
6100,2020-03-24,429.7923889160156,441.9107556027328,408.10688103087216,423.6876338550005,45734887
6101,2020-03-25,493.0494079589844,524.6209531391378,438.835637364467,439.0861981838717,73130298
6102,2020-03-26,485.73736572265625,508.83518624299154,474.87183355055674,499.2224885560531,45744488
6103,2020-03-27,485.4640197753906,504.4616323213266,476.62581332524957,498.85802939552474,41657940
6104,2020-03-30,469.4504699707031,489.6553613349292,464.6896927091085,474.0746081046582,30229866
6105,2020-03-31,507.4001159667969,514.7121184343924,477.44585853135567,489.2681076350969,44292810
6106,2020-04-01,492.2293701171875,512.3431170041558,476.17024391817705,511.2725085908885,41597459
6107,2020-04-03,490.86260986328125,516.830581040119,481.2271342245424,516.830581040119,41367807
6108,2020-04-07,549.4727783203125,553.0718035568752,501.13592062073866,502.09263777511086,54373624
6109,2020-04-08,543.117431640625,559.9055231344522,528.4706178347502,537.5821634324217,49880330
6110,2020-04-09,555.7825317382812,561.6366957900202,543.5047168036008,553.071827946098,33032857
6111,2020-04-13,541.750732421875,553.5274250943012,537.5821595892558,548.4932785488741,23673784
6112,2020-04-15,523.8464965820312,563.0945577424359,520.7257842081884,545.3497789400192,35321842
6113,2020-04-16,532.1380004882812,540.9762068879281,521.6369510306208,523.8464722189766,37455706
6114,2020-04-17,557.6275634765625,560.3610757533957,543.3452020814,553.9829818126375,33269335
6115,2020-04-20,566.6480712890625,572.6616524777401,547.6049019966156,558.5387689166379,36030932
6116,2020-04-21,563.7095947265625,570.3837758607924,530.2929500736037,551.2494932165421,61371628
6117,2020-04-22,621.226318359375,630.9301598621173,592.2515850380435,601.3631310414584,142683366
6118,2020-04-23,624.5520629882812,631.3629746182852,616.533873342364,622.9347763520208,65464502
6119,2020-04-24,645.55419921875,681.0665036167123,613.7548417534081,615.0987892580879,134986308
6120,2020-04-27,651.36279296875,671.9776918729361,648.2876372628953,653.2989750843866,58482901
6121,2020-04-28,650.6339111328125,663.0711430921186,634.2330801385784,660.5882827630392,78453401
6122,2020-04-29,650.087158203125,662.2511116508546,646.9208894352005,658.2648256800725,37494672
6123,2020-04-30,667.8775024414062,681.0665079936625,655.1441228315041,662.387790696772,71345899
6124,2020-05-04,653.845703125,667.4219080210322,645.7591489094824,656.0324764244652,53456868
6125,2020-05-05,665.4401245117188,673.8000179866202,659.3126217226816,662.2739165847549,44903763
